NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,HasSteam,HasElectricity,HasGas,NbSourcesEnergies,SecondUseRatio,ThirdUseRatio,AreaPerFloor,SiteEnergyUse_log,PrimaryPropertyType_Distribution_Center,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K_12_School,PrimaryPropertyType_Laboratory,PrimaryPropertyType_Large_Office,PrimaryPropertyType_Medical_Office,PrimaryPropertyType_Mixed_Use_Property,PrimaryPropertyType_Office,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated_Warehouse,PrimaryPropertyType_Residence_Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail_Store,PrimaryPropertyType_Self_Storage_Facility,PrimaryPropertyType_Senior_Care_Community,PrimaryPropertyType_Small_and_Mid_Sized_Office,PrimaryPropertyType_Supermarket_Grocery_Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship_Facility,Neighborhood_BALLARD,Neighborhood_CENTRAL,Neighborhood_DELRIDGE,Neighborhood_DOWNTOWN,Neighborhood_EAST,Neighborhood_GREATER_DUWAMISH,Neighborhood_LAKE_UNION,Neighborhood_MAGNOLIA_QUEENANNE,Neighborhood_NORTH,Neighborhood_NORTHEAST,Neighborhood_NORTHWEST,Neighborhood_SOUTHEAST,Neighborhood_SOUTHWEST,UsageType_Bin,AgeGroup
1.0,9,65009,0,1,1,1,3,0.0,0.0,7223.222222222223,15.701982680028118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1.0,33,315952,57600,1,1,1,3,0.1823061730895832,0.0,9574.30303030303,16.921233989185183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1.0,11,92190,25200,1,1,1,3,0.2733485193621868,0.0,8380.90909090909,16.19041724277007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
1.0,11,412000,57000,1,1,0,2,0.1189320388349514,0.0026067961165048,37454.545454545456,16.738073034525183,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,6,103911,0,1,1,1,3,0.3849448085380758,0.0,17318.5,16.11372571668866,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
1.0,28,416281,85000,0,1,1,2,0.2041889973359341,0.0,14867.17857142857,17.328748772197457,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1.0,5,57452,0,1,1,1,3,0.2698774629255726,0.1695502332381814,11490.4,15.844459077058906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
1.0,10,104352,0,1,1,1,3,0.0,0.0,10435.2,16.133438150577508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1.0,10,540360,0,0,1,1,2,0.0,0.0,54036.0,17.62182783259915,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1.0,19,385274,0,0,1,1,2,0.0,0.0,20277.57894736842,17.683786712313093,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,2,56228,0,0,1,1,2,0.0,0.0,28114.0,14.246954280675936,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1.0,6,88592,30586,0,1,1,2,0.3452456203720426,0.0,14765.333333333334,15.11393894976178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1.0,7,126593,0,0,1,1,2,0.0,0.0,18084.714285714286,16.244171847540205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1.0,2,67224,0,0,1,0,1,0.0,0.0,33612.0,14.085718308636734,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1.0,8,158676,30301,0,1,1,2,0.2646903123345686,0.0283596763215609,19834.5,15.488496157071564,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,10,171866,38281,0,1,1,2,0.0,0.0,17186.6,16.219018775944377,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,5,68410,16200,0,1,1,2,0.0,0.0,13682.0,15.309922393336713,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,2,160645,0,0,1,1,2,0.0,0.0,80322.5,15.729365676075671,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1.0,3,87262,0,0,1,1,2,0.2080286951937842,0.049357108477917,29087.333333333332,15.237635396685478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
1.0,4,81871,0,0,1,1,2,0.0,0.0,20467.75,15.71291577716698,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2,110356,0,0,1,1,2,0.0,0.0,55178.0,12.670953213340272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
3.0,2,714095,0,0,1,0,1,0.3865031963534264,0.0994265468880191,357047.5,17.61618090845081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
1.0,2,54986,0,0,1,1,2,0.0,0.0,27493.0,14.316455073981125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,2,175565,0,0,1,1,2,0.0,0.0,87782.5,15.671672210911376,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1.0,2,94900,0,0,1,1,2,0.4142676501580611,0.0,47450.0,15.637873833388806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1.0,2,52554,0,0,1,1,2,0.1493511435856452,0.0,26277.0,14.897766897710223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
1.0,3,175015,0,0,1,1,2,0.0,0.0,58338.333333333336,15.760669067466482,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1.0,3,70586,0,0,1,1,2,0.3994701498880798,0.0546708979117672,23528.666666666668,14.5849838559167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
1.0,24,332210,205970,0,1,1,2,0.0,0.0,13842.083333333334,16.59824724004218,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,5,168115,0,0,1,0,1,0.3906611545668144,0.0029325164322041,33623.0,16.070601551534008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1.0,2,57428,0,0,1,1,2,0.0989238698892526,0.0,28714.0,14.036541479246344,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
1.0,8,59400,0,0,1,0,1,0.084057239057239,0.0,7425.0,15.439240648903096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
1.0,2,52549,0,0,1,1,2,0.4472016594036042,0.1038839939865649,26274.5,16.52530563588314,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
1.0,20,98634,10043,0,1,1,2,0.1018208731269136,0.0506924589898006,4931.7,15.392703649035104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
1.0,34,994212,146694,1,1,1,3,0.1183530273221405,0.0,29241.529411764703,18.203385259313578,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1.0,7,71150,0,0,1,1,2,0.1929725931131412,0.1349824314827828,10164.285714285714,15.492290994143676,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1.0,7,122810,0,0,1,1,2,0.2153733409331487,0.0651412751404608,17544.285714285714,15.502146057629345,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
1.0,5,113173,42546,0,1,1,2,0.3759377236620042,0.0,22634.6,15.480258950081476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
1.0,7,150453,34735,0,1,1,2,0.0199397818587864,0.0,21493.285714285714,15.719882235652989,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,6,116300,28200,0,1,1,2,0.2433361994840928,0.0,19383.333333333332,15.578115037574156,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,6,155602,36744,0,1,1,2,0.0,0.0,25933.666666666668,15.73784497049088,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,3,56072,0,0,1,1,2,0.0,0.0,18690.666666666668,14.989473873254628,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
1.0,4,122942,44891,0,1,1,2,0.3651396593515641,0.0,30735.5,15.490236835332803,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.0,2,54984,0,0,1,1,2,0.0,0.0,27492.0,15.031968398853085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
1.0,5,217603,0,0,1,1,2,0.0,0.0,43520.6,17.571863409749295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
1.0,2,93397,0,0,1,1,2,0.0,0.0,46698.5,16.61294816107171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1.0,6,84103,20732,0,1,1,2,0.2465072589562798,0.0,14017.166666666666,15.125490736190129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,3,179014,0,0,1,1,2,0.0,0.0,59671.333333333336,16.630982449044307,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,7,76631,0,0,1,1,2,0.0,0.0,10947.285714285714,15.797719366668227,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
1.0,6,99780,9341,1,1,0,2,0.2091401082381238,0.1705752655842854,16630.0,16.554614689002065,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1.0,2,58320,0,0,1,1,2,0.0,0.0,29160.0,13.864061288709909,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
1.0,5,316306,0,0,1,1,2,0.4765195728187261,0.0478618805839914,63261.2,16.439885918733513,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,7,282863,44766,0,1,1,2,0.1821977423699812,0.0,40409.0,16.78383586840935,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,1,389000,0,1,1,1,3,0.0,0.0,389000.0,16.9792532203153,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1.0,1,91213,0,1,1,0,2,0.0,0.0,91213.0,15.912442681221258,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1.0,5,396085,0,1,1,0,2,0.0,0.0,79217.0,16.857889080094537,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1.0,12,571329,0,0,1,1,2,0.5438180102882927,0.0458632416698609,47610.75,17.494488352040598,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,2,52000,0,1,1,0,2,0.0,0.0,26000.0,14.818481245247328,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1.0,1,60696,0,0,1,0,1,0.0,0.0,60696.0,13.683056656066642,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
1.0,2,262048,0,1,1,0,2,0.0,0.0,131024.0,16.846766719827258,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
0.0,2,66240,2352,0,1,0,1,0.0782155797101449,0.0687047101449275,33120.0,15.24254040986308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1.0,6,920598,303707,0,1,1,2,0.2009715424104766,0.0065175027536449,153433.0,17.41738892594472,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.0,4,76213,25930,0,1,1,2,0.2815005314054032,0.0315694172910133,19053.25,15.061453896985611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1.0,6,96910,36934,0,1,1,2,0.3811164998452172,0.0,16151.666666666666,15.455587950632976,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2.0,4,50017,0,0,1,1,2,0.0,0.0,12504.25,15.510938075556911,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
1.0,3,67743,0,0,1,1,2,0.0,0.0,22581.0,14.788891768037471,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
1.0,6,194104,0,0,1,1,2,0.0,0.0,32350.666666666668,15.64325498207557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
1.0,3,99433,35752,0,1,0,1,0.3595586978166202,0.0,33144.333333333336,15.404288515702062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,1,130862,0,0,1,1,2,0.0,0.0,130862.0,15.680524516185274,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1.0,3,59955,0,0,1,1,2,0.0,0.0,19985.0,14.306173907268796,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,2,93218,0,0,1,1,2,0.0,0.0,46609.0,14.875864230515289,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1.0,4,56521,0,0,1,0,1,0.0,0.0,14130.25,15.665166538941357,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1.0,2,206934,0,0,1,1,2,0.0,0.0,103467.0,15.263270951521262,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
1.0,4,51390,0,0,1,1,2,0.0,0.0,12847.5,15.099644278361474,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1.0,2,131013,0,0,1,1,2,0.0,0.0,65506.5,15.175097556372132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1.0,1,245587,0,0,1,1,2,0.0,0.0,245587.0,16.280697547014274,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1.0,3,69138,0,0,1,1,2,0.0,0.0,23046.0,14.991842242120455,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,5,190980,0,0,1,1,2,0.0997539009320347,0.0,38196.0,15.688234617493771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
1.0,6,284100,0,1,1,1,3,0.0,0.0,47350.0,16.499370656863285,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.0,5,285333,0,0,1,1,2,0.5217237403314724,0.0,57066.6,18.03635160913353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1.0,2,55513,0,0,1,0,1,0.0,0.0,27756.5,14.22998215230444,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,4,61156,0,0,1,1,2,0.47777814114723,0.0,15289.0,16.052316253585513,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,4,72820,13820,0,1,1,2,0.0,0.0,18205.0,14.513871436052098,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1.0,4,162222,14200,0,1,1,2,0.2015263034606896,0.0,40555.5,15.888300149398006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.0,4,289588,0,0,1,1,2,0.0,0.0,72397.0,15.992515647796836,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,3,63330,0,0,1,1,2,0.0,0.0,21110.0,14.933846385833862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
27.0,2,441071,0,0,1,1,2,0.0,0.0,220535.5,17.461005988362217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.0,2,96300,0,0,1,1,2,0.0513395638629283,0.0,48150.0,16.60789179715501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1.0,1,67356,0,0,1,1,2,0.0,0.0,67356.0,15.827151931781898,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1.0,3,254523,0,0,1,1,2,0.0,0.0,84841.0,16.42320798003547,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,78804,0,0,1,1,2,0.0,0.0,26268.0,14.731457230656856,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,3,66994,0,0,1,1,2,0.0,0.0,22331.333333333332,14.678950783625648,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,98357,0,0,1,1,2,0.0,0.0,32785.666666666664,15.055660457950728,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1,54765,0,0,1,1,2,0.456495937186159,0.0,54765.0,15.263222050311454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
1.0,5,89821,0,0,1,1,2,0.4223733870698389,0.0509791696819229,17964.2,14.48338736531232,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.0,2,52611,0,0,1,1,2,0.0,0.0,26305.5,15.230604088217328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,4,139600,37500,0,1,1,2,0.0,0.0,34900.0,15.308096064072153,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
