OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),UsageType,UsageType_Bin,NumPropertyUseTypes
28,2016,SPS-District K-12,K-12 School,98118.0,2,SOUTHEAST,47.54576,-122.26853,1961,1.0,2,56228,0,56228,K-12 School,K-12 School,58916.0,,,1539478.5,0.0,936955.0,602523.0,Mono_usage,0,1
29,2016,NonResidential,Hotel,98105.0,4,NORTHEAST,47.65959,-122.31755,2001,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,30586.0,,3663534.5,0.0,2266231.0,1397303.0,Multi_usage,1,2
30,2016,NonResidential,University,98121.0,7,DOWNTOWN,47.61816,-122.33629,1928,1.0,7,126593,0,126593,College/University,College/University,125000.0,,,11343686.0,0.0,4647474.0,6696211.0,Mono_usage,0,1
31,2016,NonResidential,Other,98101.0,7,DOWNTOWN,47.615,-122.33081,1930,1.0,2,67224,0,67224,Automobile Dealership,Automobile Dealership,67224.0,,,1310236.625,0.0,1310236.0,0.0,Mono_usage,0,1
32,2016,NonResidential,Hotel,98101.0,7,EAST,47.61301,-122.32929,1991,1.0,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,42000.0,4500.0,5328051.5,0.0,572307.0,4755745.0,Multi_usage,1,4
33,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61784,-122.32966,2001,1.0,10,171866,38281,133585,Hotel,Hotel,128909.0,,,11061916.0,0.0,5610706.0,5451210.0,Mono_usage,0,1
35,2016,NonResidential,Hotel,98121.0,7,DOWNTOWN,47.61558,-122.34186,1978,1.0,5,68410,16200,52210,Hotel,Hotel,47994.0,,,4456714.5,0.0,2346349.0,2110365.0,Mono_usage,0,1
36,2016,SPS-District K-12,K-12 School,98125.0,5,NORTH,47.70994,-122.29301,1949,1.0,2,160645,0,160645,K-12 School,K-12 School,164229.0,,,6779173.0,0.0,1947601.0,4831572.0,Mono_usage,0,1
38,2016,NonResidential,Small- and Mid-Sized Office,98070.0,4,LAKE_UNION,47.6641,-122.33118,1906,1.0,3,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,18153.0,4307.0,4145920.5,0.0,1352843.0,2793077.0,Multi_usage,1,4
40,2016,NonResidential,Hotel,98105.0,4,NORTHEAST,47.66583,-122.29965,1994,1.0,4,81871,0,81871,Hotel,Hotel,81871.0,,,6668568.5,0.0,3016399.0,3652169.0,Mono_usage,0,1
41,2016,NonResidential,Self-Storage Facility,98105.0,4,NORTHEAST,47.66172,-122.29598,1955,1.0,2,110356,0,110356,Self-Storage Facility,Self-Storage Facility,26225.0,,,318364.8125,0.0,281265.0,37100.0,Mono_usage,0,1
46,2016,NonResidential,Warehouse,98118.0,2,GREATER_DUWAMISH,47.51138,-122.28875,1961,3.0,2,714095,0,714095,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,616000.0,276000.0,71000.0,44731160.0,0.0,44731153.0,0.0,Multi_usage,1,3
50,2016,SPS-District K-12,K-12 School,98199.0,7,MAGNOLIA_QUEENANNE,47.65671,-122.39047,1990,1.0,2,54986,0,54986,K-12 School,K-12 School,54986.0,,,1650279.25,0.0,1217589.0,432690.0,Mono_usage,0,1
51,2016,SPS-District K-12,K-12 School,98115.0,4,NORTHEAST,47.68252,-122.29498,1950,1.0,2,175565,0,175565,K-12 School,K-12 School,182861.0,,,6399127.5,0.0,1599684.0,4799443.0,Mono_usage,0,1
52,2016,NonResidential,Small- and Mid-Sized Office,98107.0,6,BALLARD,47.66587,-122.38476,1961,1.0,2,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,55586.0,39314.0,,6186461.5,0.0,4291585.0,1894876.0,Multi_usage,1,2
53,2016,NonResidential,Small- and Mid-Sized Office,98144.0,2,GREATER_DUWAMISH,47.58034,-122.31132,1900,1.0,2,52554,0,52554,"Office, Other - Education",Office,51029.0,7849.0,,2951331.25,0.0,1579749.0,1371582.0,Multi_usage,1,2
54,2016,NonResidential,K-12 School,98103.0,6,NORTHWEST,47.68891,-122.33553,1954,1.0,3,175015,0,175015,K-12 School,K-12 School,175015.0,,,6994740.5,0.0,2679739.0,4315001.0,Mono_usage,0,1
55,2016,NonResidential,Self-Storage Facility,98121.0,7,DOWNTOWN,47.61351,-122.35129,1911,1.0,3,70586,0,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,28197.0,3859.0,2158629.0,0.0,1500229.0,658400.0,Multi_usage,1,3
56,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60946,-122.33337,1969,1.0,24,332210,205970,126240,Hotel,Hotel,348630.0,,,16163194.0,0.0,12204406.0,3958787.0,Mono_usage,0,1
57,2016,NonResidential,Large Office,98101.0,7,DOWNTOWN,47.6113,-122.33659,1973,1.0,5,168115,0,168115,"Data Center, Office, Retail Store",Office,103362.0,65676.0,493.0,9536161.0,0.0,9536160.0,0.0,Multi_usage,1,3
