OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,SiteEnergyUse(kBtu),UsageType,NumPropertyUseTypes,BuildingAge,HasSteam,HasElectricity,HasGas,NbSourcesEnergies,SecondUseRatio,ThirdUseRatio,AreaPerFloor
180,NonResidential,Other,GREATER_DUWAMISH,1.0,5,89821,0,Other - Lodging/Residential,1950092.5,Multi_usage,3,7,0,1,1,2,0.4223733870698389,0.05097916968192293,17964.2
182,NonResidential,University,MAGNOLIA_QUEENANNE,1.0,2,52611,0,College/University,4116871.5,Mono_usage,1,36,0,1,1,2,0.0,0.0,26305.5
183,NonResidential,Residence Hall,MAGNOLIA_QUEENANNE,1.0,4,139600,37500,Residence Hall/Dormitory,4448582.5,Mono_usage,1,15,0,1,1,2,0.0,0.0,34900.0
185,SPS-District K-12,K-12 School,NORTH,1.0,2,236758,0,K-12 School,8355988.5,Multi_usage,2,5,0,1,1,2,0.0,0.0,118379.0
187,NonResidential,Other,CENTRAL,3.0,6,250981,0,Other,13071700.0,Multi_usage,2,45,1,1,1,3,0.3122029157585634,0.0,41830.166666666664
189,SPS-District K-12,K-12 School,NORTHWEST,1.0,3,62526,0,K-12 School,1986094.875,Mono_usage,1,14,0,1,1,2,0.0,0.0,20842.0
338,NonResidential,Other,DOWNTOWN,1.0,11,299070,68432,Other,65336980.0,Mono_usage,1,12,0,1,1,2,0.0,0.0,27188.18181818182
190,NonResidential,Small- and Mid-Sized Office,GREATER_DUWAMISH,1.0,3,64015,0,Office,3242077.75,Multi_usage,3,9,0,1,1,2,0.23432008123096149,0.14082636881980787,21338.333333333332
194,NonResidential,Retail Store,NORTH,1.0,1,530039,0,Retail Store,27717034.0,Multi_usage,2,65,0,1,1,2,0.047045594758121576,0.0,530039.0
195,NonResidential,Other,NORTH,1.0,3,54224,0,Other/Specialty Hospital,7265178.0,Mono_usage,1,52,0,1,1,2,0.0,0.0,18074.666666666668
197,NonResidential,Retail Store,NORTH,1.0,4,124342,0,Retail Store,8765978.0,Mono_usage,1,51,0,1,1,2,0.0,0.0,31085.5
200,NonResidential,Other,NORTHWEST,1.0,3,55442,0,Financial Office,3191228.25,Multi_usage,3,20,0,1,1,2,0.2774972042855597,0.15591068143284875,18480.666666666668
205,SPS-District K-12,K-12 School,BALLARD,1.0,2,242795,0,K-12 School,9157150.0,Mono_usage,1,17,0,1,1,2,0.0,0.0,121397.5
209,NonResidential,Self-Storage Facility,EAST,1.0,5,84870,0,Self-Storage Facility,1381590.125,Mono_usage,1,106,0,1,1,2,0.0,0.0,16974.0
211,Campus,University,NORTHWEST,11.0,2,694072,111625,College/University,35891484.0,Mono_usage,1,46,0,1,1,2,0.0,0.0,347036.0
212,SPS-District K-12,K-12 School,SOUTHEAST,1.0,2,173185,0,K-12 School,6127771.5,Mono_usage,1,64,0,1,1,2,0.0,0.0,86592.5
214,SPS-District K-12,K-12 School,DELRIDGE,1.0,1,145341,0,K-12 School,5499097.0,Mono_usage,1,53,0,1,1,2,0.0,0.0,145341.0
215,NonResidential,Warehouse,GREATER_DUWAMISH,1.0,4,114297,0,Non-Refrigerated Warehouse,2100097.75,Mono_usage,1,112,0,1,1,2,0.0,0.0,28574.25
216,SPS-District K-12,K-12 School,SOUTHEAST,1.0,2,184125,0,K-12 School,8800292.0,Mono_usage,1,56,0,1,1,2,0.0,0.0,92062.5
220,NonResidential,Warehouse,GREATER_DUWAMISH,1.0,1,234144,0,Non-Refrigerated Warehouse,6744317.0,Mono_usage,1,79,0,1,1,2,0.0,0.0,234144.0
223,NonResidential,Retail Store,DELRIDGE,1.0,1,64984,0,Retail Store,2944296.25,Mono_usage,1,50,0,1,1,2,0.0,0.0,64984.0
224,NonResidential,Retail Store,DELRIDGE,1.0,1,67745,0,Retail Store,9230223.0,Mono_usage,1,51,0,1,1,2,0.0,0.0,67745.0
225,SPS-District K-12,K-12 School,DELRIDGE,1.0,2,367884,0,K-12 School,12265516.0,Mono_usage,1,6,0,1,1,2,0.0,0.0,183942.0
226,SPS-District K-12,K-12 School,DELRIDGE,1.0,1,46797,0,K-12 School,2075891.0,Mono_usage,1,58,0,1,1,2,0.0,0.0,46797.0
228,NonResidential,Other,BALLARD,1.0,3,56000,0,Other,1851260.5,Mono_usage,1,43,0,1,1,2,0.0,0.0,18666.666666666668
229,SPS-District K-12,K-12 School,SOUTHEAST,1.0,2,67371,0,K-12 School,2128459.0,Mono_usage,1,12,0,1,1,2,0.0,0.0,33685.5
